"unemp_benefit_number_total","unemp_benefit_number_male","unemp_benefit_number_female","unemp_benefit_yen_total","unemp_benefit_yen_male","unemp_benefit_yen_female","id","date","year","prefec_kanji","prefec"
3389,1326,2063,396298893,178659733,217639160,30,"2017-08-01",2017,"和歌山","Wakayama"
2293,896,1397,260466270,116897159,143569111,31,"2017-08-01",2017,"鳥取","Tottori"
2475,987,1488,292939674,132671613,160268061,32,"2017-08-01",2017,"島根","Shimane"
6930,2676,4254,827944632,366736735,461207897,33,"2017-08-01",2017,"岡山","Okayama"
10552,3724,6828,1312103096,539931272,772171824,34,"2017-08-01",2017,"広島","Hiroshima"
4482,1606,2876,553842947,235474274,318368673,35,"2017-08-01",2017,"山口","Yamaguchi"
2813,1177,1636,340505891,161469441,179036450,36,"2017-08-01",2017,"徳島","Tokushima"
3579,1359,2220,415898412,182483210,233415202,37,"2017-08-01",2017,"香川","Kagawa"
5069,1920,3149,599134365,267716066,331418299,38,"2017-08-01",2017,"愛媛","Ehime"
3209,1193,2016,369170617,157692491,211478126,39,"2017-08-01",2017,"高知","Kochi"
21993,7639,14354,2707417781,1103161120,1604256661,40,"2017-08-01",2017,"福岡","Fukuoka"
3470,1199,2271,397672109,161790609,235881500,41,"2017-08-01",2017,"佐賀","Saga"
5801,2075,3726,658980838,270138255,388842583,42,"2017-08-01",2017,"長崎","Nagasaki"
8245,3038,5207,1012022367,429825206,582197161,43,"2017-08-01",2017,"熊本","Kumamoto"
5071,1787,3284,566295639,231885349,334410290,44,"2017-08-01",2017,"大分","Oita"
4914,1775,3139,563972233,240241170,323731063,45,"2017-08-01",2017,"宮崎","Miyazaki"
7195,2558,4637,811096402,342293620,468802782,46,"2017-08-01",2017,"鹿児島","Kagoshima"
5402,2171,3231,619525106,281818843,337706263,47,"2017-08-01",2017,"沖縄","Okinawa"
402787,155983,246804,47090591427,20864118658,26226472769,99,"2017-09-01",2017,"全国","zenkoku"
20029,6795,13234,2204315644,870180021,1334135623,1,"2017-09-01",2017,"北海道","Hokkaido"
5388,2072,3316,555255707,250649822,304605885,2,"2017-09-01",2017,"青森","Aomori"
4379,1777,2602,472843595,218955325,253888270,3,"2017-09-01",2017,"岩手","Iwate"
7803,2997,4806,868383423,389381103,479002320,4,"2017-09-01",2017,"宮城","Miyagi"
